entry_at,symbol,direction,pnl,hvn_dist_atr,hvn_density_above,hvn_density_below,poc_dist_bps,ema_value,ema_dist_bps,ema_dist_atr,ema_low_below_ema,ema_high_above_ema,bars_since_avwap_cross_session_open,bars_since_avwap_cross_pd_high,bars_since_avwap_cross_pd_low,avwap_cross_breach_max_atr_session_open,avwap_cross_breach_max_atr_pd_high,avwap_cross_breach_max_atr_pd_low,hvn_bucket,ema_bucket,time_split,symbol_split
2025-11-07T08:54:00-06:00,RBLX,LONG,-188.2853,3.565,0,1,-271.27,104.1369,186.59,2.400,0,1,4,4,4,2.106,3.996,4.384,far,outside,IS,IS
2025-11-10T08:39:00-06:00,LLY,LONG,116.5226,4.917,0,12,-597.51,933.8230,327.76,7.714,0,1,24,1,1,3.485,11.593,11.410,far,outside,IS,IS
2025-11-11T08:54:00-06:00,RIVN,LONG,159.9076,12.662,0,4,-973.19,16.6620,217.85,2.810,0,1,1,72,95,2.286,6.328,10.235,far,outside,IS,IS
2025-11-12T09:09:00-06:00,MRVL,LONG,-207.1803,7.707,0,1,-336.89,91.0135,174.86,3.973,0,1,2,7,7,3.818,6.340,6.729,far,outside,IS,IS
2025-11-17T08:39:00-06:00,GOOGL,LONG,-187.2929,14.392,0,1,-509.40,282.0696,360.92,9.747,0,1,81,1,1,3.685,9.823,12.465,far,outside,IS,OOS
2025-11-17T08:39:00-06:00,MU,LONG,-180.9616,9.995,0,3,-590.39,252.2069,274.90,4.568,0,1,1,75,76,3.175,8.663,7.293,far,outside,IS,IS
2025-11-17T08:54:00-06:00,AVGO,LONG,-212.4981,2.064,3,3,95.75,346.5849,138.64,3.441,0,1,78,66,68,5.276,5.679,7.392,far,outside,IS,OOS
2025-11-19T08:44:00-06:00,GOOGL,LONG,140.5535,8.964,0,11,-483.45,291.4546,276.05,6.118,0,1,56,2,56,4.531,7.156,8.805,far,outside,IS,OOS
2025-11-19T08:54:00-06:00,SOXL,LONG,213.2355,2.454,7,4,744.90,35.3650,244.59,3.141,0,1,4,4,4,3.354,5.715,5.447,far,outside,IS,IS
2025-11-24T08:39:00-06:00,AMD,LONG,124.0850,7.525,6,2,-236.55,207.0712,166.07,5.255,0,1,52,1,29,3.845,11.982,11.129,far,outside,IS,IS
2025-11-24T08:44:00-06:00,GOOGL,LONG,-106.1816,11.192,0,7,-513.33,307.8845,279.25,6.205,0,1,28,30,29,4.069,10.057,12.563,far,outside,IS,OOS
2025-11-24T11:24:00-06:00,SMCI,LONG,78.4649,4.793,6,4,464.59,32.9867,32.84,0.759,1,1,29,29,61,3.126,3.858,8.885,far,within,IS,IS
2025-11-28T08:59:00-06:00,RIVN,LONG,-87.0528,21.012,0,7,-1267.19,16.7051,188.50,3.158,0,1,56,142,151,6.181,7.236,10.451,far,outside,IS,IS
2025-12-01T08:59:00-06:00,RIVN,LONG,-176.2374,4.790,0,10,-1425.61,17.1189,165.71,2.731,0,1,15,194,203,5.583,8.142,21.184,far,outside,IS,IS
2025-12-02T08:39:00-06:00,SOXL,LONG,-177.4383,14.344,0,5,-761.52,42.3268,445.58,8.073,0,1,74,73,73,7.365,8.659,11.772,far,outside,IS,IS
2025-12-02T08:44:00-06:00,AMD,LONG,-178.7968,14.161,0,6,-402.14,222.1307,159.09,5.875,0,1,55,56,64,4.665,7.497,10.983,far,outside,IS,IS
2025-12-09T08:54:00-06:00,AFRM,LONG,-177.8507,5.411,0,3,-244.26,68.7781,148.57,3.263,0,1,13,4,4,3.116,5.950,5.885,far,outside,IS,OOS
2025-12-11T09:24:00-06:00,LLY,LONG,-147.4816,5.554,0,2,-305.79,1008.1474,159.63,2.906,0,1,3,4,6,3.253,4.035,4.873,far,outside,IS,IS
2025-12-12T08:54:00-06:00,TSLA,LONG,-175.0283,7.826,0,6,-348.65,454.3850,164.83,4.528,0,1,47,4,4,3.900,10.300,9.590,far,outside,IS,OOS
